,Model-Name,Train-Accuracy,Test-Accuracy,Validation-Accuracy,F1-Score,Precision,Recall,total-correct-on-test/105,total-correct-on-validation/105,Elapsed (Mins)
0,DenseNet121,96.14,99.04761910438538,96.190476,96.18989298107483,96.1904761904762,96.21537503890444,101,101,30.0
1,VGG16,89.94,93.33333373069765,90.476191,90.48696496120768,90.47619047619048,90.8350625668113,95,95,44.0
2,InceptionV3,96.0,97.14285731315611,93.333334,93.27814124264056,93.33333333333331,93.56410740111929,98,98,50.0
3,MobileNetV2,95.0,97.14285731315611,96.190476,96.22256909732576,96.1904761904762,96.58119658119658,101,101,41.0
4,Xception,92.51,94.28571462631226,94.285715,94.28260192966076,94.28571428571428,94.38243438243438,99,99,47.0
5,VGG19,89.26,85.71428656578064,83.809525,83.98913112768534,83.80952380952381,86.74740010946907,88,88,46.0
