,loss,accuracy,val_loss,val_accuracy
0,4.252780914306641,0.7397881746292114,0.5611724257469177,0.8380952477455139
1,0.3818642497062683,0.8751891255378723,0.35609233379364014,0.8571428656578064
2,0.3149843215942383,0.8903176784515381,0.35263437032699585,0.9047619104385376
3,0.2597466707229614,0.9077155590057373,0.33438995480537415,0.8761904835700989
4,0.24344755709171295,0.9099848866462708,0.30136561393737793,0.8952381014823914
5,0.2400183528661728,0.9130105972290039,0.38448211550712585,0.8666666746139526
6,0.25820672512054443,0.9039334058761597,0.32069361209869385,0.8761904835700989
7,0.23278312385082245,0.9198184609413147,0.2685820460319519,0.9142857193946838
8,0.16833285987377167,0.9334341883659363,0.2963208556175232,0.8952381014823914
9,0.19954714179039001,0.9379727840423584,0.42343035340309143,0.9142857193946838
10,0.2048182189464569,0.9251134395599365,0.3407069146633148,0.8952381014823914
